taxon_id	speciesName	order	family	genus	redlistCategory	rl_cat	habitat_breadth	gestation_length	weaning_age	criterionB	rl_cat	threatened_status	range_size	patch_matrix	continuum_p5	continuum_p10	continuum_p50	continuum_p90	continuum_p95	hybrid_p5	hybrid_p10	hybrid_p50	hybrid_p90	hybrid_p95	realm
731	Akodon dayi	Rodentia	Cricetidae	Akodon	Least Concern	LC	1	24.466	21.887	0	LC	Non-threatened	290944	0.205104762	2.26399E-05	0.000145639	0.018788138	0.217875294	0.365758853	0.114606861	0.128457497	0.21388308	0.561312693	0.810265931	Neotropic
114957548	Akodon dolores	Rodentia	Cricetidae	Akodon	Least Concern	LC	1	23.616	21.885	0	LC	Non-threatened	811131	0.212276439	1.36403E-05	0.000154002	0.023210101	0.186420128	0.317310765	0.101980272	0.115848099	0.179477036	0.391118389	0.525201422	Neotropic
733	Akodon fumeus	Rodentia	Cricetidae	Akodon	Least Concern	LC	3	23.516	21.57	0	LC	Non-threatened	151919	0.109992825	6.41224E-05	0.000164603	0.008251923	0.126145822	0.17674693	0.110485265	0.125191648	0.172659494	0.31293402	0.350426589	Neotropic
736	Akodon iniscatus	Rodentia	Cricetidae	Akodon	Least Concern	LC	4	23.7	21.538	0	LC	Non-threatened	573584	0.142624271	0.000383931	0.00105691	0.025720793	0.150599152	0.207797787	0.109408552	0.122180717	0.174945459	0.364322746	0.399608445	Neotropic
737	Akodon juninensis	Rodentia	Cricetidae	Akodon	Least Concern	LC	3	23.944	22.531	0	LC	Non-threatened	116146	0.020138446	3.7087E-05	0.000114356	0.003867804	0.034956807	0.054047236	0.094665952	0.101187381	0.145312145	0.318249089	0.378000987	Neotropic
739	Akodon kofordi	Rodentia	Cricetidae	Akodon	Least Concern	LC	3	23.574	22.1	0	LC	Non-threatened	13686	0.316893176	0.000508705	0.001833429	0.03890341	0.38684696	0.433343627	0.158730975	0.170820338	0.329887301	0.463839591	0.710140979	Neotropic
742	Akodon lindberghi	Rodentia	Cricetidae	Akodon	Data Deficient	DD	1	25.959	23.51	0	DD	Data deficient	166454	0.02717868	1.3618E-06	1.71629E-05	0.000972671	0.019858516	0.036415706	0.045696759	0.052191976	0.088601489	0.3160577	0.562913814	Neotropic
753	Akodon lutescens	Rodentia	Cricetidae	Akodon	Least Concern	LC	4	23.681	21.445	0	LC	Non-threatened	110900	0.005716862	9.78592E-06	4.393E-05	0.000731436	0.010787127	0.02469679	0.039497887	0.055688206	0.131329462	0.159891455	0.165051913	Neotropic
746	Akodon mimus	Rodentia	Cricetidae	Akodon	Least Concern	LC	4	25.322	23.236	0	LC	Non-threatened	57730	0.01082626	1.07594E-05	7.4002E-05	0.001783699	0.025633384	0.043857203	0.042736226	0.064535569	0.132683828	0.164736655	0.1691802	Neotropic
747	Akodon molinae	Rodentia	Cricetidae	Akodon	Least Concern	LC	4	23.218	26.24	0	LC	Non-threatened	429596	0.142880753	1.96761E-05	8.25639E-05	0.01335906	0.140028983	0.27611582	0.084545173	0.10253384	0.185850367	0.42018351	0.64783293	Neotropic
748	Akodon mollis	Rodentia	Cricetidae	Akodon	Least Concern	LC	5	25.831	22.847	0	LC	Non-threatened	267318	0.127006038	1.35483E-05	7.98364E-05	0.005157769	0.162844644	0.352368644	0.119291846	0.135889739	0.281334221	0.793455958	0.961575568	Neotropic
136197	Akodon montensis	Rodentia	Cricetidae	Akodon	Least Concern	LC	2	24.567	22.379	0	LC	Non-threatened	1054523	0.027549897	6.20285E-08	2.2452E-06	0.000346745	0.014130004	0.0339924	0.043988129	0.056724267	0.134200625	0.487219468	0.628462917	Neotropic
136260	Akodon mystax	Rodentia	Cricetidae	Akodon	Data Deficient	DD	3	24.239	22.395	0	DD	Data deficient	17790	0.008150646	7.52911E-06	3.2538E-05	0.000650998	0.006485274	0.010824131	0.059514537	0.074152832	0.165154964	0.290772754	0.295176947	Neotropic
752	Akodon orophilus	Rodentia	Cricetidae	Akodon	Least Concern	LC	5	23.97	22.298	0	LC	Non-threatened	34113	0.426464984	0.000472028	0.001692562	0.069491513	0.890114069	0.969949126	0.133053124	0.149184243	0.296864718	0.975100946	0.986313757	Neotropic
136483	Akodon paranaensis	Rodentia	Cricetidae	Akodon	Least Concern	LC	2	24.218	22.72	0	LC	Non-threatened	483903	0.032609841	1.61159E-07	3.93668E-06	0.000426061	0.016954885	0.04197996	0.049942602	0.05963289	0.149885453	0.490305921	0.638681579	Neotropic
